zipcode,population density (per sq mile),population
12974,173.0,1393
12018,173.0,7919
14589,172.7,7573
14870,172.1,10647
10986,172.0,1887
12572,171.9,8859
13036,171.8,8465
10914,171.2,421
14057,170.9,8241
12594,169.4,4180
14716,168.6,3100
13148,168.1,10647
12451,167.5,1986
13346,166.2,6457
14487,165.8,5539
10516,165.8,5327
14432,163.2,6304
12106,162.9,2380
13032,162.1,13230
13612,161.8,2904
14511,161.2,379
12413,160.8,2645
13076,160.0,2451
12123,160.0,5293
13165,159.8,10919
12170,158.9,4894
11976,158.4,2301
12530,158.2,55
13669,158.1,16436
13641,156.6,49
14733,155.9,4352
13314,155.5,606
14428,155.4,8003
13060,153.7,2461
13845,153.3,60
13655,151.9,3414
12489,151.4,943
13456,151.3,4246
12578,150.0,2372
12025,149.1,5471
14011,148.8,9957
14475,148.8,227
10969,148.3,1665
14001,148.1,9790
14025,143.7,3210
10998,143.6,2699
12037,142.3,4416
13132,141.7,3420
14808,141.0,475
14482,141.0,8265
10931,140.7,908
14546,140.5,4843
12871,139.9,4282
14865,139.7,2787
12787,139.5,490
14135,138.4,143
12962,138.4,6009
12516,138.4,2168
13476,137.2,2931
12956,137.0,1260
12009,136.9,7264
12522,136.6,5159
12043,135.4,8396
14548,134.9,4056
12420,134.6,569
12742,134.4,290
12864,134.2,28
13340,133.8,7788
13166,133.7,5565
14712,133.4,3483
14103,133.4,10728
12507,132.3,200
14707,131.3,261
14478,131.2,1535
14134,130.8,111
13080,130.8,3997
14485,130.2,4609
14033,130.1,2252
14551,129.9,5693
12070,129.7,1607
14843,129.3,13052
13815,128.9,13896
14744,128.8,2265
13053,128.1,4283
14411,127.6,14493
10958,127.3,2929
14041,127.2,295
14505,127.2,5050
12132,126.4,235
13152,126.4,8178
12433,126.2,493
13827,126.0,11649
13120,125.9,2162
12035,125.9,798
12056,125.4,2319
11939,125.2,932
14034,124.7,3205
14543,124.3,3174
14470,123.6,7930
12428,123.0,6709
13490,122.2,1446
12788,121.7,2885
12514,121.6,3273
12192,121.4,2089
12484,121.1,2884
13623,121.1,48
13834,120.8,47
12525,120.8,2882
14545,120.6,173
12978,120.5,315
13833,120.1,4309
12747,119.5,1722
12745,119.5,192
13073,118.5,6520
12838,118.2,601
14882,118.2,3939
14070,117.7,6050
12526,116.9,3763
14172,116.3,3104
12833,116.1,4111
14894,116.0,1311
12483,114.8,385
12438,114.4,55
14816,114.1,442
13145,113.7,1909
12749,113.6,337
12176,112.4,385
14131,112.3,4828
13637,111.9,3945
13363,111.9,2375
13794,111.5,80
13035,111.3,8543
13744,110.8,1284
13068,110.7,5697
13777,110.3,664
10953,110.3,123
14067,110.0,5456
14787,109.3,5030
12845,109.1,4864
14141,108.7,7684
14530,108.5,5392
12090,108.3,6175
12859,107.3,2368
14466,107.1,1844
13634,107.0,4879
12404,106.8,3835
14489,106.7,7261
13114,106.3,6761
13774,105.9,317
14769,105.7,964
14125,105.0,3765
13074,104.8,4467
13676,103.9,16728
11964,103.4,2048
14532,103.3,4235
14810,102.7,12444
13685,102.6,2306
13112,101.9,2200
13160,101.8,2167
13408,101.6,3834
14028,101.3,1423
12458,101.3,3281
12040,101.0,132
14872,101.0,650
12790,100.9,4671
12173,100.5,1731
13607,100.3,1810
13084,100.0,4303
12975,98.5,281
14469,98.4,6500
12738,98.4,650
12791,98.4,646
12157,97.8,4272
10110,97.0,1
13776,96.9,551
14471,96.9,2628
12729,96.8,2183
11954,96.8,3471
12485,96.7,822
14416,96.6,3606
13619,96.6,10706
14871,96.4,5561
13407,96.3,5280
13428,96.2,1530
11932,96.1,1008
12068,95.4,3006
14111,95.4,3456
14527,95.3,12923
14423,95.2,4828
12746,94.9,1376
14770,94.8,2836
13861,94.7,419
12412,94.6,574
14036,94.2,5119
13110,94.1,2313
13077,94.0,6673
14541,93.8,4634
12822,93.5,6287
14886,93.0,7236
12463,92.7,1006
13425,91.9,2348
13668,91.8,3484
14437,91.1,11314
13304,90.8,1600
12473,90.8,1363
13802,90.5,912
12024,90.2,94
11930,90.2,1565
14476,89.8,2229
14105,89.7,4247
12195,89.5,175
13636,89.2,286
11958,89.2,366
13167,89.1,3056
14891,89.0,4655
13477,89.0,1802
11975,88.8,359
12185,88.7,2180
12481,88.6,1119
14864,88.6,1107
12094,88.5,2550
12792,88.4,300
14030,88.0,1767
13606,87.9,3101
14081,87.8,3167
12501,87.7,2710
12780,87.7,2152
13624,87.7,5636
14517,87.6,2989
12461,87.3,2088
13617,87.3,11243
12545,86.6,4764
14069,86.5,738
12431,86.4,1338
14895,86.1,9802
14867,85.4,5738
12440,85.3,2008
14139,84.9,2028
10987,84.6,3279
14550,84.5,1764
14080,84.4,4467
13806,83.9,260
13044,83.8,2352
13328,83.7,1328
12083,83.4,3639
12748,82.6,1825
13042,82.6,2799
14042,82.4,3783
12765,82.4,1033
12465,82.0,238
13142,81.8,6141
12832,81.8,6624
12058,81.2,1586
12781,81.1,346
13317,81.1,3787
14569,81.0,6216
12823,80.8,351
13140,80.8,4353
14516,80.6,2429
13404,80.4,237
14040,80.4,2365
12752,80.1,150
12423,79.9,1016
12125,79.8,1434
14544,79.5,2247
14477,79.4,2089
14706,79.2,6294
12075,79.0,3120
14435,79.0,2894
13746,78.5,2216
14481,78.5,1865
12523,78.1,1725
12074,78.0,2849
12137,78.0,1901
13751,78.0,156
12405,77.8,558
13123,77.8,184
12972,77.4,6448
13862,77.2,4531
13478,76.8,2750
13028,76.5,1452
13034,76.1,1857
14757,76.1,3520
13409,75.7,2611
14590,75.7,5199
13308,75.6,2973
13322,75.3,919
14012,75.3,2515
12844,75.3,206
12117,75.2,3426
12919,75.0,2903
12961,74.5,298
14009,74.4,5532
14143,74.2,1076
12121,73.8,1739
12992,73.7,4697
12053,73.7,4605
13734,73.5,2703
12953,73.0,15679
13675,73.0,89
14521,72.9,2755
13310,72.4,555
12719,72.1,1275
13329,71.8,3837
12067,71.8,1551
14427,71.7,2202
14874,71.7,166
14422,71.3,2432
12834,71.2,6243
13812,70.7,2299
12783,70.6,2425
06390,70.1,296
12921,69.8,2328
13651,69.8,185
14572,69.7,5228
13156,69.4,2162
14710,69.4,3359
13131,69.4,3682
13694,69.1,1581
12154,69.0,2961
12837,69.0,1032
13054,68.9,1536
14837,68.7,5569
12816,68.1,4329
12446,68.0,4633
13101,67.7,2648
13159,67.5,5357
13365,67.3,9134
12887,67.3,5695
14510,67.1,4700
14098,66.9,3079
11965,66.8,621
12809,66.7,3461
14869,66.6,1343
13811,66.5,4228
11931,66.0,36
12850,65.8,3137
14718,65.7,2195
13143,65.5,2870
12723,65.0,2090
14715,64.8,2816
13743,64.5,3794
13730,64.2,3185
12546,64.2,2960
13026,63.9,1799
13673,63.8,2228
12059,63.7,1698
12156,63.6,955
13480,63.4,3419
13033,63.4,3939
12824,63.3,991
13354,63.2,3294
12592,63.2,1196
13797,63.1,2109
12567,63.0,2928
11962,62.9,452
12785,62.4,1095
12885,62.3,4595
13339,62.2,6784
13825,62.1,3522
14433,62.0,4121
14561,61.9,3209
13402,61.8,1576
13406,61.4,674
12883,61.3,5020
13118,61.2,6288
12066,61.2,2120
13778,60.8,5922
13122,60.7,1136
14525,60.7,2772
14005,60.6,2032
12429,60.6,128
12057,60.6,2130
13753,60.5,5710
14860,60.5,1270
13796,60.4,1357
14732,60.3,135
13605,60.3,4907
13667,60.3,3017
13452,60.2,4645
