OBJECTID,ID,LinkID,Width,Center_X,Center_Y,Start_X,Start_Y,End_X,End_Y,NEAR_FID,NEAR_DIST,NEAR_ANGLE
4109,60607,60607,7.2,589358.0572,4511710.884,589255.6772,4511767.493,589460.4371,4511654.276,2,4064.278091,121.3402134
4110,60608,60608,14.4,589265.7828,4511976.173,589160.2453,4511825.741,589371.3203,4512126.605,2,3828.374533,125.6177703
4111,60609,60609,7.2,588767.9512,4512128.99,588681.2286,4511991.967,588865.464,4512258.189,2,3443.105353,120.0411503
4112,60610,60610,7.2,588993.3257,4512415.271,588865.464,4512258.189,589122.399,4512571.365,2,3322.338234,126.5950187
4113,60611,60611,7.2,589402.8673,4512807.508,589260.1957,4512870.79,589545.5388,4512744.226,2,3177.270351,131.8162491
4114,60612,60612,7.2,589191.2974,4512721.077,589122.399,4512571.365,589260.1957,4512870.79,2,3177.270351,131.8162491
4115,60613,60613,10.8,589361.0359,4509637.69,589272.5259,4509618.504,589444.6727,4509672.204,2,6010.615112,110.7627287
4116,60614,60614,7.2,589942.3525,4509943.404,589669.2963,4509806.925,590208.9493,4510091.587,3,5896.056456,42.01713326
4117,60616,60616,10.8,589561.8873,4509731.452,589444.6727,4509672.204,589669.2963,4509806.925,2,5991.102645,114.9533338
4118,60617,60617,10.8,589678.5157,4510217.513,589506.5346,4510284.246,589860.8038,4510185.725,2,5489.936239,115.51487
4119,60618,60618,10.8,590003.8946,4510153.366,589860.8038,4510185.725,590147.1853,4510121.922,2,5738.152257,118.2846151
4120,60619,60619,3.6,590157.0378,4510150.223,590293.1703,4510110.376,590017.7488,4510175.528,3,5821.062831,42.43461332
4121,60620,60620,7.2,589430.0994,4510906.811,589313.0996,4510842.026,589551.7982,4510962.148,2,4899.114169,117.6560137
4122,60621,60621,14.4,589340.539,4511115.251,589221.3273,4511184.427,589483.283,4511076.896,2,4556.559961,117.1542453
4123,60622,60622,10.8,589430.8611,4511279.419,589336.3742,4511467.924,589483.283,4511076.896,2,4362.974952,120.199097
4124,60623,60623,14.4,589512.4744,4511068.422,589483.283,4511076.896,589541.6658,4511059.948,2,4775.339419,119.3625577
4125,60624,60624,7.2,589620.6766,4510992.069,589551.7982,4510962.148,589689.555,4511021.99,2,4908.942729,119.4028079
4126,60625,60625,14.4,589615.4883,4511040.42,589541.6658,4511059.948,589689.555,4511021.99,2,4818.924896,119.8687425
4127,60626,60626,7.2,589418.0785,4510534.372,588956.4978,4510652.772,589884.0688,4510446.912,2,4931.997397,111.5892334
4128,60627,60627,14.4,590010.6764,4510264.112,590078.4403,4510170.825,589951.0642,4510367.899,2,5622.943855,119.9743778
4129,60629,60629,14.4,589953.3247,4510386.912,589951.0642,4510367.899,589955.5851,4510405.924,2,5592.310383,120.2091429
4130,60630,60630,7.2,589919.827,4510426.418,589884.0688,4510446.912,589955.5851,4510405.924,2,5521.058197,119.7817813
4131,60631,60631,14.4,589965.82,4510481.045,589955.5851,4510405.924,589976.0549,4510556.166,2,5473.567021,121.1856725
4132,60632,60632,7.2,589992.4669,4510383.335,589955.5851,4510405.924,590029.3487,4510360.745,2,5592.310383,120.2091429
4133,60633,60633,7.2,590016.5727,4510550.496,589976.0549,4510556.166,590057.0905,4510544.826,2,5473.567021,121.1856725
4134,60634,60634,14.4,590076.7541,4510960.893,590037.9936,4510969.815,590115.9537,4510954.109,2,5158.688592,124.1544927
4135,60635,60635,14.4,590007.0243,4510762.991,589976.0549,4510556.166,590037.9936,4510969.815,2,5158.688592,124.1544927
4136,60636,60636,14.4,589863.7743,4510995.903,589689.555,4511021.99,590037.9936,4510969.815,2,4926.705367,121.1404453
4137,60637,60637,7.2,590086.7431,4510967.651,590059.3472,4510984.508,590115.9537,4510954.109,2,5158.583662,124.4423786
4138,60638,60638,7.2,590051.9951,4511078.789,590044.188,4511015.966,590059.8021,4511141.612,2,5030.069329,125.4588166
4139,60639,60639,14.4,590043.9515,4511007.636,590043.7149,4510999.306,590044.188,4511015.966,2,5124.06984,124.5015289
4140,60640,60640,10.8,590006.5161,4511065.635,590044.188,4511015.966,589968.8442,4511115.305,2,4999.529677,124.4347957
4141,60641,60641,7.2,589822.8082,4511066.516,589689.555,4511021.99,589956.0614,4511111.042,2,4926.705367,121.1404453
4142,60642,60642,10.8,589828.8948,4511268.209,589701.7282,4511425.376,589956.0614,4511111.042,2,4592.967325,123.8737466
4143,60643,60643,10.8,589842.5143,4511273.092,589968.8442,4511115.305,589716.1843,4511430.88,2,4596.47939,124.0616001
4144,60644,60644,7.2,589962.4528,4511113.173,589956.0614,4511111.042,589968.8442,4511115.305,2,4995.834284,124.2862354
4145,60645,60645,7.2,590014.3232,4511128.459,589968.8442,4511115.305,590059.8021,4511141.612,2,4999.529677,124.4347957
4146,60646,60646,7.2,590243.1318,4510110.544,590208.9493,4510091.587,590277.3142,4510129.501,3,5819.913728,42.19032374
4147,60648,60648,7.2,590174.2805,4510275.854,590029.3487,4510360.745,590319.2122,4510190.963,2,5668.617195,120.623695
4148,60649,60649,7.2,590334.4849,4510181.601,590319.2122,4510190.963,590349.7576,4510172.24,3,5737.561135,42.3599555
4149,60651,60651,7.2,590624.3125,4509402.139,590486.2461,4509264.286,590708.3415,4509584.528,3,5907.378111,48.92975636
4150,60652,60652,7.2,590747.8192,4509626.368,590756.6925,4509650.069,590738.9459,4509602.667,3,5826.204517,48.86478016
4151,60653,60653,10.8,590593.1777,4509313.038,590738.9459,4509602.667,590397.1453,4509056.14,3,5873.607486,49.03858243
4152,60654,60654,7.2,590834.1642,4509656.594,590730.4159,4509561.262,590975.0608,4509652.746,3,5682.867322,50.50543183
4153,60656,60656,7.2,590802.9548,4509722.229,590860.7696,4509785.572,590756.6925,4509650.069,3,5655.693657,48.75585229
4154,60657,60657,3.6,590782.0052,4509700.284,590807.3178,4509750.5,590756.6925,4509650.069,3,5717.329439,48.58479993
4155,60658,60658,7.2,590394.5003,4510145.806,590349.7576,4510172.24,590439.243,4510119.373,3,5707.923421,43.35735856
4156,60659,60659,7.2,590455.9494,4510110.196,590439.243,4510119.373,590472.6558,4510101.018,3,5696.346785,43.72233105
4157,60660,60660,3.6,590381.0455,4510058.591,590147.1853,4510121.922,590614.7277,4509995.171,3,5669.521177,45.48801784
4158,60661,60661,10.8,590638.9184,4509988.639,590614.7277,4509995.171,590663.1091,4509982.107,3,5645.08803,45.93115481
4159,60662,60662,10.8,590411.8385,4510043.379,590208.9493,4510091.587,590614.7277,4509995.171,3,5669.521177,45.48801784
4160,60663,60663,10.8,590367.9211,4510092.025,590442.6719,4510073.673,590293.1703,4510110.376,3,5736.915841,43.71272494
4161,60664,60664,3.6,590643.8293,4510034.605,590837.502,4509968.254,590442.6719,4510073.673,3,5535.391908,47.32799833
4162,60665,60665,10.8,590814.494,4509963.016,591116.6,4509722.098,590442.6719,4510073.673,3,5524.895054,49.16273866
4163,60666,60666,7.2,590493.8154,4510086.788,590472.6558,4510101.018,590514.9749,4510072.557,3,5685.652067,44.22436485
4164,60667,60667,7.2,590421.1189,4510210.137,590349.7576,4510172.24,590492.4801,4510248.034,3,5581.17524,42.77221956
4165,60668,60668,7.2,590482.568,4510174.526,590492.4801,4510248.034,590472.6558,4510101.018,3,5581.17524,42.77221956
4166,60669,60669,10.8,590411.4438,4510065.197,590147.1853,4510121.922,590673.9465,4510000.558,3,5624.295154,45.87974304
4167,60670,60670,10.8,590686.2138,4509974.618,590663.1091,4509982.107,590709.3184,4509967.129,3,5623.879356,46.37554857
4168,60671,60671,3.6,590877.4966,4509950.375,591116.6,4509722.098,590564.32,4510063.501,3,5503.582726,49.06121985
4169,60672,60672,7.2,590539.6475,4510068.029,590564.32,4510063.501,590514.9749,4510072.557,3,5656.755079,44.63870056
4170,60673,60673,7.2,590655.0748,4510049.373,590742.7658,4510021.94,590564.32,4510063.501,3,5561.143158,46.23538889
4171,60674,60674,7.2,590252.242,4510517.171,590057.0905,4510544.826,590447.3935,4510489.515,3,5454.247625,40.58795699
4172,60675,60675,14.4,590102.5974,4511153.235,590059.8021,4511141.612,590145.3927,4511164.858,2,5030.069329,125.4588166
4173,60676,60676,7.2,590261.8171,4511148.79,590145.3927,4511164.858,590378.2415,4511132.722,2,5061.471532,126.400699
4174,60677,60677,14.4,590504.2197,4510901.443,590349.4709,4510923.091,590658.9685,4510879.796,3,5042.152441,38.78396823
4175,60678,60678,14.4,590238.392,4510973.667,590354.8059,4510956.463,590121.7734,4510989.375,2,5190.160242,125.0411081
4176,60679,60679,7.2,590352.1384,4510939.777,590349.4709,4510923.091,590354.8059,4510956.463,3,5237.212339,36.04476655
4177,60680,60680,7.2,590456.7799,4511121.468,590378.2415,4511132.722,590535.3182,4511110.214,3,5000.820792,35.83738958
4178,60681,60681,7.2,590366.5237,4511044.592,590354.8059,4510956.463,590378.2415,4511132.722,3,5116.16926,34.60302296
4179,60682,60682,14.4,590266.8677,4511198.535,590145.3927,4511164.858,590388.3426,4511232.211,3,5051.930074,33.73929631
4180,60683,60683,7.2,590383.2921,4511182.466,590378.2415,4511132.722,590388.3426,4511232.211,3,5051.930074,33.73929631
4181,60684,60684,7.2,590486.0921,4510484.215,590447.3935,4510489.515,590524.7906,4510478.914,3,5402.684915,41.20737462
4182,60685,60685,7.2,590563.4471,4510473.613,590524.7906,4510478.914,590602.1035,4510468.312,3,5351.828632,41.83805437
4183,60686,60686,3.6,590508.6354,4510363.474,590524.7906,4510478.914,590492.4801,4510248.034,3,5402.684915,41.20737462
4184,60687,60687,7.2,590657.4137,4510340.7,590576.8838,4510293.141,590737.9435,4510388.26,3,5306.147836,43.46067415
4185,60688,60688,7.2,590612.6976,4511100.557,590535.3182,4511110.214,590690.0769,4511090.901,3,4887.823637,37.08315374
4186,60689,60689,7.2,590630.536,4510674.054,590602.1035,4510468.312,590658.9685,4510879.796,3,5042.152441,38.78396823
4187,60690,60690,14.4,590857.4612,4510851.199,590658.9685,4510879.796,591055.9538,4510822.601,3,4777.531972,42.30306136
4188,60691,60691,14.4,590509.0394,4510935.476,590663.2728,4510914.488,590354.8059,4510956.463,3,5017.125558,38.5059248
4189,60692,60692,7.2,590661.1207,4510897.142,590658.9685,4510879.796,590663.2728,4510914.488,3,5017.125558,38.5059248
4190,60693,60693,7.2,590676.6749,4511002.695,590663.2728,4510914.488,590690.0769,4511090.901,3,4887.823637,37.08315374
4191,60694,60694,7.2,590702.3747,4511183.035,590690.0769,4511090.901,590714.6725,4511275.169,3,4758.929224,35.49165276
4192,60695,60695,7.2,590887.3331,4511062.844,590690.0769,4511090.901,591084.5893,4511034.787,3,4615.594213,40.59397865
4193,60696,60696,7.2,589707.6268,4511470.934,589716.1843,4511430.88,589711.321,4511511.757,2,4526.941827,124.5839366
4194,60698,60698,7.2,589585.8791,4511583.016,589460.4371,4511654.276,589711.321,4511511.757,2,4269.05173,122.8972359
4195,60699,60699,7.2,589509.4012,4511724.646,589460.4371,4511654.276,589558.3652,4511795.016,2,4207.06105,125.0586085
4196,60700,60700,14.4,589708.9563,4511428.128,589701.7282,4511425.376,589716.1843,4511430.88,2,4592.967325,123.8737466
4197,60701,60701,14.4,589767.672,4511464.812,589716.1843,4511430.88,589806.4676,4511512.577,2,4580.951275,125.5695555
4198,60702,60702,7.2,589654.7649,4511936.017,589558.3652,4511795.016,589751.1645,4512077.018,2,4099.463661,129.5328783
4199,60703,60703,14.4,589893.4831,4511625.025,589806.4676,4511512.577,589996.6808,4511722.389,2,4529.397391,129.0727715
4200,60704,60704,7.2,589893.1482,4512273.366,589751.1645,4512077.018,590035.1319,4512469.714,2,4004.897112,136.2576213
4201,60705,60705,7.2,590041.3582,4511782.901,589996.6808,4511722.389,590078.0561,4511848.724,2,4484.883195,130.8974619
4202,60706,60706,7.2,589643.5927,4512695.396,589545.5388,4512744.226,589741.6465,4512646.567,2,3464.223689,133.9383349
4203,60707,60707,14.4,589556.4834,4512386.586,589371.3203,4512126.605,589741.6465,4512646.567,2,3671.357432,135.0846931
